Name,P/B,Focus
RBL Bank Ltd. ,1.31,
Balmer Lawrie and Company Ltd. ,1.33,
Rail Vikas Nigam Ltd. ,1.35,
Rajesh Exports Ltd. ,1.36,
Cochin Shipyard Ltd. ,1.38,
Graphite India Ltd. ,1.39,
NMDC Ltd. ,1.39,
L&T Finance Holdings Ltd. ,1.41,
Mahindra CIE Automotive Ltd. ,1.43,
DCM Shriram Ltd. ,1.49,
Balrampur Chini Mills Ltd. ,1.5,
Kalpataru Power Transmission Ltd. ,1.5,
Meghmani Organics Ltd. ,1.53,
Allcargo Logistics Ltd. ,1.54,
Godrej Industries Ltd. ,1.55,
IDFC First Bank  Ltd. ,1.55,
Jai Corp Ltd. ,1.55,
Jindal Stainless Ltd. ,1.58,
New India Assurance Company Ltd. ,1.58,
Hathway Cable and Datacom Ltd. ,1.59,
Aditya Birla Capital Ltd. ,1.61,
Jindal Stainless (Hisar) Ltd. ,1.64,
TV Today Network Ltd. ,1.64,
Power Grid Corporation of India Ltd. ,1.65,
Ceat Ltd. ,1.66,
Shriram Transport Finance Corporation Ltd. ,1.67,
Dilip Buildcon Ltd. ,1.7,
EIH Ltd. ,1.71,
Phillips Carbon Black Ltd. ,1.76,
Torrent Power Ltd. ,1.76,
DLF Ltd. ,1.78,
Ambuja Cements Ltd. ,1.8,
BEML Ltd. ,1.82,
Varroc Engineering Ltd. ,1.82,
Gujarat Fluorochemicals Ltd. ,1.84,
KRBL Ltd. ,1.84,
Sobha Ltd. ,1.84,
Sunteck Realty Ltd. ,1.84,
Gujarat State Petronet Ltd. ,1.85,
Wockhardt Ltd. ,1.87,
Fortis Healthcare  Ltd. ,1.88,
TVS Srichakra Ltd. ,1.92,
PNC Infratech Ltd. ,1.93,
UPL Ltd. ,1.96,
Mahindra and Mahindra Ltd. ,2.01,
Gujarat Pipavav Port Ltd. ,2.02,
IndusInd Bank Ltd. ,2.04,
Prestige Estates Projects Ltd. ,2.06,
Future Consumer  Ltd. ,2.08,
Delta Corp Ltd. ,2.1,
Engineers India Ltd. ,2.1,
Minda Corporation Ltd. ,2.1,
Dalmia Bharat Ltd. ,2.13,
GE Power India Ltd. ,2.13,
Axis Bank Ltd. ,2.14,
Finolex Cables Ltd. ,2.14,
Brigade Enterprises Ltd. ,2.17,
Nilkamal Ltd. ,2.18,
NOCIL Ltd. ,2.18,
Swan Energy Ltd. ,2.18,
Lemon Tree Hotels Ltd. ,2.19,
Bharat Petroleum Corporation Ltd. ,2.24,
Navneet Education Ltd. ,2.25,
Star Cement Ltd. ,2.26,
Godfrey Phillips India Ltd. ,2.28,
Cyient Ltd. ,2.3,
Hindustan Aeronautics Ltd. ,2.3,
S H Kelkar & Company Ltd. ,2.31,
HFCL Ltd. ,2.32,
Zee Entertainment Enterprises Ltd. ,2.37,
Welspun India Ltd. ,2.4,
Chalet Hotels Ltd. ,2.41,
Glenmark Pharma Ltd. ,2.41,
RITES Ltd. ,2.43,
eClerx Services Ltd. ,2.44,
Trident Ltd. ,2.45,
JK Lakshmi Cement Ltd. ,2.47,
Aster DM Healthcare Ltd Ltd. ,2.49,
Oberoi Realty Ltd. ,2.49,
Larsen & Toubro Ltd. ,2.54,
Zensar Technologies Ltd. ,2.54,
Firstsource Solutions Ltd. ,2.56,
Manappuram Finance Ltd. ,2.57,
Exide Industries Ltd. ,2.59,
Reliance Industries Ltd. ,2.63,
Coal India Ltd. ,2.64,
ICICI Bank Ltd. ,2.64,
Jubilant Life Sciences Ltd. ,2.64,
Vakrangee Ltd. ,2.65,
Container Corporation of India Ltd. ,2.66,
KSB  Ltd. ,2.68,
Karnataka Bank Ltd. ,2.69,
JSW Steel Ltd. ,2.71,
Phoenix Mills Ltd. ,2.72,
Shilpa Medicare Ltd. ,2.72,
Bliss GVS Pharma Ltd. ,2.76,
Greaves Cotton Ltd. ,2.77,
MRF Ltd. ,2.8,
CARE Ratings Ltd. ,2.82,
ACC Ltd. ,2.86,
Indian Hotels Company Ltd. ,2.86,
Bajaj Finserv Ltd. ,2.87,
KEI Industries Ltd. ,2.88,
Bharti Airtel Ltd. ,2.89,
Chambal Fertilisers and Chemicals Ltd. ,2.91,
NESCO Ltd. ,3,
Sun Pharmaceutical Industries Ltd. ,3.03,
KNR Constructions Ltd. ,3.08,
IIFL Wealth Management Ltd. ,3.09,
Heritage Foods Ltd. ,3.1,
Motilal Oswal Financial Services Ltd. ,3.1,
Lakshmi Machine Works Ltd. ,3.11,
Adani Enterprises Ltd. ,3.13,
Bharat Electronics Ltd. ,3.19,
Strides Pharma Science Ltd. ,3.27,
Aurobindo Pharma Ltd. ,3.3,
Quess Corp Ltd. ,3.3,
Housing Development Finance Corporation Ltd. ,3.33,
KEC International Ltd. ,3.33,
Kaveri Seed Company Ltd. ,3.37,
CreditAccess Grameen Ltd. ,3.41,
Prism Johnson Ltd. ,3.44,
Zydus Wellness Ltd. ,3.45,
JTEKT India  Ltd. ,3.49,
KPR Mill Ltd. ,3.53,
Suprajit Engineering Ltd. ,3.56,
MMTC Ltd. ,3.58,
NBCC (India) Ltd. ,3.61,
Petronet LNG Ltd. ,3.62,
FDC Ltd. ,3.63,
KPIT Technologies Ltd. ,3.63,
Sun TV Network Ltd. ,3.63,
Just Dial Ltd. ,3.68,
INDUS TOWERS Ltd. ,3.69,
CCL Products India Ltd. ,3.72,
Ashok Leyland Ltd. ,3.73,
TATA Consumer Products Ltd. ,3.77,
Lupin Ltd. ,3.81,
Sterlite Technologies Ltd. ,3.82,
Thermax Ltd. ,3.84,
Birlasoft Ltd. ,3.87,
Capri Global Capital Ltd. ,3.88,
ITC Ltd. ,3.9,
Linde India Ltd. ,3.93,
Mishra Dhatu Nigam Ltd. ,3.94,
Motherson Sumi Systems Ltd. ,3.94,
Cummins India Ltd. ,4,
The Ramco Cements Ltd. ,4.03,
Carborundum Universal Ltd. ,4.08,
Adani Ports and Special Economic Zone Ltd. ,4.09,
UltraTech Cement Ltd. ,4.13,
Finolex Industries Ltd. ,4.15,
Rallis India Ltd. ,4.18,
Cipla Ltd. ,4.21,
Advanced Enzyme Technologies Ltd. ,4.24,
Cadila Healthcare Ltd. ,4.24,
Muthoot Finance Ltd. ,4.29,
Cholamandalam Investment and Finance Company Ltd. ,4.32,
Ratnamani Metals and Tubes Ltd. ,4.32,
Caplin Point Laboratories Ltd. ,4.33,
Hero Motocorp Ltd. ,4.35,
Radico Khaitan Ltd. ,4.4,
Bosch Ltd. ,4.41,
Indoco Remedies Ltd. ,4.41,
Wipro Ltd. ,4.43,
Avanti Feeds Ltd. ,4.45,
HDFC Bank Ltd. ,4.46,
INOX Leisure Ltd. ,4.47,
Responsive Industries Ltd. ,4.49,
Oracle Financial Services Software Ltd. ,4.5,
PVR Ltd. ,4.51,
Natco Pharma Ltd. ,4.52,
Security & Intelligence Services India Ltd. ,4.52,
Jyothy Labs Ltd. ,4.57,
Tech Mahindra Ltd. ,4.57,
Godrej Agrovet Ltd. ,4.64,
