Indiamart Intermesh Ltd.,18.60,93.21,160.95,0.5791239515377447
Indian Bank,0.66,13.28,27.94,0.47530422333571937
Indian Hotels Company Ltd.,2.93,--,34.07,--
Indoco Remedies Ltd.,3.89,35.96,38.74,0.9282395456892101
Indostar Capital Finance  Ltd.,1.04,--,44.01,--
INDUS TOWERS Ltd.,4.71,22.08,31.93,0.6915126839962418
IndusInd Bank Ltd.,2.32,34.79,39.89,0.8721484081223364
Info Edge India Ltd.,29.02,51.43,84.98,0.6052012238173687
Infosys Ltd.,8.83,31.27,32.43,0.9642306506321308
INOX Leisure Ltd.,4.20,--,31.36,--
Interglobe Aviation Ltd.,11.13,--,18.08,--
Indian Overseas Bank,0.00,--,27.94,--
Indian Oil Corporation Ltd.,0.97,18.84,43.12,0.43692022263450836
IOL Chemicals and Pharmaceuticals Ltd.,0.00,--,38.74,--
Ipca Laboratories Ltd.,6.65,22.94,38.74,0.5921528136293237
IRB Infrastructure Developers Ltd.,0.64,24.40,26.06,0.9363008442056792
Ircon International  Ltd.,0.20,2.47,25.98,0.09507313317936875
IRCTC - Indian Railway Catering & Tourism Corp Ltd.,0.00,--,45.16,--
ITC Ltd.,3.99,19.13,16.91,1.1312832643406268
ITI Ltd.,250.30,--,42.82,--
IIFL Wealth Management Ltd.,3.53,40.06,44.01,0.9102476709838674
J. K. Cement Ltd.,7.60,34.78,38.30,0.908093994778068
Jagran Prakashan Ltd.,0.74,25.27,8.32,3.0372596153846154
Jai Corp Ltd.,1.63,21.97,42.10,0.5218527315914488
Jamna Auto Industries Ltd.,5.43,76.47,43.47,1.759144237405107
JB Chemicals and Pharmaceuticals Ltd.,6.48,23.43,38.74,0.604801239029427
Jindal Stainless (Hisar) Ltd.,1.27,6.46,12.04,0.5365448504983389
Jindal Saw Ltd.,0.42,15.71,23.37,0.6722293538724861
Jindal Stainless Ltd.,1.30,54.03,11.66,4.633790737564323
Jindal Steel & Power Ltd.,1.03,15.46,37.04,0.41738660907127434
Jammu and Kashmir Bank Ltd.,0.40,--,39.89,--
JK Lakshmi Cement Ltd.,3.03,14.49,38.30,0.37832898172323765
JK Paper Ltd.,1.11,13.16,6.41,2.0530421216848675
JK Tyre and Industries Ltd.,1.26,36.65,26.20,1.3988549618320612
JM Financial Ltd.,1.12,16.65,44.01,0.37832310838445804
Johnson Controls -Hitachi Air Conditioning India Ltd.,0.00,--,87.86,--
JSW Energy Ltd.,1.24,17.86,18.29,0.9764898851831603
JSW Steel Ltd.,2.74,24.97,14.52,1.7196969696969697
JTEKT India  Ltd.,3.58,--,49.75,--
Jubilant Foodworks Ltd.,34.84,247.52,69.88,3.542072123640527
Just Dial Ltd.,4.95,23.82,47.21,0.5045541198898539
Jyothy Labs Ltd.,4.55,27.40,72.04,0.3803442531926707
Kajaria Ceramics Ltd.,8.77,67.59,53.76,1.2572544642857144
Kalpataru Power Transmission Ltd.,1.67,11.04,18.11,0.6096079514080618
Kansai Nerolac Paints Ltd.,8.28,66.24,84.87,0.7804878048780487
Karnataka Bank Ltd.,2.86,--,39.89,--
Kaveri Seed Company Ltd.,3.24,9.16,30.19,0.303411725736999
KEC International Ltd.,4.16,21.07,18.11,1.1634456101601325
KEI Industries Ltd.,2.94,18.00,23.15,0.7775377969762419
KNR Constructions Ltd.,3.73,15.17,26.06,0.5821181887950883
Kotak Mahindra Bank Ltd.,5.28,41.98,39.89,1.0523940837302581
KPIT Technologies Ltd.,4.23,34.09,32.43,1.0511871723712614
KPR Mill Ltd.,3.67,16.67,16.99,0.98116539140671
KRBL Ltd.,1.46,7.96,10.27,0.7750730282375853
KSB  Ltd.,3.35,30.20,20.64,1.4631782945736433
L&T Finance Holdings Ltd.,1.48,23.04,44.01,0.523517382413088
Larsen & Toubro Infotech Ltd.,13.57,39.56,32.43,1.2198581560283688
L&T Technology Services Ltd.,10.79,43.89,25.98,1.6893764434180139
La Opala RG Ltd.,0.00,--,51.87,--
Lakshmi Machine Works Ltd.,4.25,345.19,18.28,18.883479212253828
Larsen & Toubro Ltd.,2.83,18.63,31.71,0.5875118259224219
Laurus Labs Ltd.,10.82,24.07,38.74,0.6213216313887454
Lemon Tree Hotels Ltd.,2.16,--,34.07,--
LIC Housing Finance Ltd.,1.20,7.91,21.17,0.37364194615021257
Linde India Ltd.,6.14,90.69,37.95,2.3897233201581027
Lupin Ltd.,3.86,41.64,38.74,1.074858027878162
Lux Industries Ltd.,9.08,26.60,48.00,0.5541666666666667
Mahindra and Mahindra Ltd.,2.23,--,46.77,--
Maharashtra Scooters Ltd.,0.00,--,22.18,--
Maharashtra Seamless Ltd.,0.60,--,5.69,--
Mahanagar Gas Ltd.,0.00,--,24.49,--
Mahindra CIE Automotive Ltd.,1.35,102.41,61.61,1.6622301574419736
Mahindra Holidays and Resorts India Ltd.,0.00,--,34.07,--
Mahindra Lifespace Developers Ltd.,1.59,--,26.06,--
Mahindra Logistics Ltd.,7.19,150.79,42.41,3.555529356283895
Manappuram Finance Ltd.,2.39,8.30,44.01,0.1885935014769371
Marico Ltd.,17.16,45.10,72.04,0.6260410882842865
Maruti Suzuki India Ltd.,4.46,49.29,46.77,1.0538806927517639
MAS Financial Services Ltd.,4.44,33.12,44.01,0.7525562372188139
Max Financial Services Ltd.,11.25,97.53,44.01,2.216087252897069
Multi Commodity Exchange of India Ltd.,5.70,30.70,34.63,0.8865145827317354
Meghmani Organics Ltd.,1.66,9.59,51.72,0.1854215003866976
Metropolis Healthcare Ltd.,18.80,71.64,69.89,1.025039347546144
Minda Corporation Ltd.,2.34,--,30.71,--
Minda Industries Ltd.,6.31,188.61,79.17,2.3823417961348996
Mindtree Ltd.,9.67,30.55,32.43,0.9420289855072465
Mishra Dhatu Nigam Ltd.,3.84,28.13,11.66,2.4125214408233275
MMTC Ltd.,5.53,--,106.69,--
MOIL Ltd.,1.38,51.25,9.40,5.452127659574468
Motherson Sumi Systems Ltd.,5.16,136.46,79.17,1.7236326891499305
Motilal Oswal Financial Services Ltd.,3.12,17.88,44.01,0.40627130197682343
MphasiS Ltd.,5.27,24.50,32.43,0.7554733271662042
MRF Ltd.,3.10,23.29,26.20,0.8889312977099236
Mangalore Refinery and Petrochemicals Ltd.,1.07,--,43.12,--
Muthoot Finance Ltd.,4.35,14.41,44.01,0.32742558509429676
National Aluminium Company Ltd.,1.08,23.13,108.78,0.21263099834528404
Narayana Hrudayalaya Ltd.,7.62,--,69.89,--
Natco Pharma Ltd.,4.01,31.47,38.74,0.812338668043366
Nava Bharat Ventures Ltd.,0.25,2.65,18.29,0.14488791689447786
Navin Fluorine International Ltd.,9.43,29.16,34.62,0.8422876949740036
